"Sign","Reading","Confidence","DEDR","Source","Basis"
"M027","māṟ","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M041","pēr","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M038","pōr","MEDIUM","","","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M010","paṭ","MEDIUM","","","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M050","pār","MEDIUM","","","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M025","cem","MEDIUM","","","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M070","vēl","MEDIUM","","","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M078","cēr","MEDIUM","","","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M023","vaḷ","MEDIUM","","","Round 1: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); has specific PDR reading"
"M066","cōḻ","MEDIUM","","","Round 1: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); has specific PDR reading"
"M071","nal","HIGH","","","Round 1: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); HIGH-anchor collocate M267 (n=4); HIGH-anchor collocate M342 (n=4); has specific PDR reading [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M009","āṇ","MEDIUM","","","Round 2: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); has specific PDR reading"
"M069","nēr","MEDIUM","","","Round 2: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); has specific PDR reading"
"M021","kō","MEDIUM","","","Round 2: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); has specific PDR reading"
"M031","kai","HIGH","","","Round 2: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); HIGH-anchor collocate M342 (n=5); has specific PDR reading [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M002","kuṉ","MEDIUM","","","Round 2: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); has specific PDR reading"
"M037","kēḷ","MEDIUM","","","Round 2: INITIAL position (freq=16), distributional assignment; UPGRADED-V18: consistent INITIAL (n=16); HIGH-anchor collocate M267 (n=4); has specific PDR reading"
"M005","kōṉ","MEDIUM","","","Round 2: INITIAL position (freq=15), distributional assignment; UPGRADED-V18: consistent INITIAL (n=15); HIGH-anchor collocate M342 (n=4); has specific PDR reading"
"M011","kaḷiṟu","HIGH","","","Round 2: INITIAL position (freq=15), distributional assignment; UPGRADED-V18: consistent INITIAL (n=15); has specific PDR reading [Phase-116 recal: SA-cons=0.50✓ DEDR✓]"
"M036","tiru","MEDIUM","","","Round 2: INITIAL position (freq=15), distributional assignment; UPGRADED-V18: consistent INITIAL (n=15); has specific PDR reading"
"M015","mā","MEDIUM","","","Round 2: INITIAL position (freq=15), distributional assignment; UPGRADED-V18: consistent INITIAL (n=15); has specific PDR reading"
"M001","tōḷ","MEDIUM","","Parpola 1994++Parpola_1994","Round 2: INITIAL position (freq=14), distributional assignment"
"M075","māṟ","MEDIUM","","","Round 2: INITIAL position (freq=14), distributional assignment; UPGRADED-V18: HIGH-anchor collocate M267 (n=4); has specific PDR reading"
"M042","vaN","HIGH","","Phase-89 systematic DEDR (ICON, MEDIUM)"," [Phase-116 recal: SA-cons=0.62✓ DEDR✓]"
"M040","ri","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='ri' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=13."
"M024","nē","MEDIUM","","Phase-105","Phase-73 SA syl_modal='nē' (Dravidian syllabic LM). Iconography: potted-plant/sprout sign ~ nē (sprouting). Phase-103: appears in 13 name slots; NAME_AY_AN pattern. DEDR 3741 nē = 'you (formal)' or nēr = 'straight/true'. Personal name component: Nē-an (true man). Freq=13; Pos=INITIAL; name_slots=5."
"M049","pu","HIGH","DEDR 4349","Phase-80 DEDR rebus (puL = DEDR 4349)"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M081","ve","HIGH","DEDR 5500","Phase-80 DEDR rebus (veeNkai = DEDR 5500)"," [Phase-116 recal: SA-cons=0.50✓ DEDR✓]"
"M047","min/mīn","MEDIUM","","","FACT-CHECK CORRECTION 2026-05-11: Distributional assignment 'par' (LOW, Round 2) overridden by crosswalk evidence. M047 = P47 = 'fish (plain)' per mahadevan_parpola_crosswalk.json (sourced from Parpola 1994a + Mahadevan 1977). Reading 'mīn' (fish/star, DEDR 4897) is the Parpola canonical anchor confirmed by iconographic_anchors.json (fish-in-crocodile-mouth, H-902B offerings tablet, eZu-miin compound). Freq=13 in Holdat corpus. Previous distributional: {'reading': 'pār', 'confidence': 'LOW', 'basis': 'Round 2: INITIAL position (freq=13), distributional assignment'}"
"M033","puli","HIGH","","","Round 2: INITIAL position (freq=12), distributional assignment; UPGRADED-V18: HIGH-anchor collocate M267 (n=4); has specific PDR reading [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M074","ker","MEDIUM","","Phase-87 DEDR_REBUS_EXTENDED",""
"M054","mi","MEDIUM","DEDR 4855","Phase-80 DEDR rebus (miiNDu = DEDR 4855)",""
"M072","mā","MEDIUM","DEDR 4751 (mā = great/large, Tamil)","Phase-129 positional upgrade","Phase-129 positional squeeze: M072 is consistently INITIAL (12/12 tokens). SA modal = 'mā'. DEDR 4751 mā = great/large (very common Tamil adjective). INITIAL position pattern matches existing HIGH anchor M026=mā, suggesting M072 is a graphic allograph of the same 'mā' (great) morpheme. Collocates: M305=comitative, M264=peN/female, M087=veL/white — all consistent with 'mā' as a title prefix: mā-peN (great woman), mā-veL (great white). SA consistency: 1.00 (all 12 instances give 'mā'). Phase-129 MEDIUM."
"M055","miN3","MEDIUM","","Phase-89 systematic DEDR (ICON, MEDIUM)",""
"M028","cōḻ","MEDIUM","","Parpola 1994+","Round 3: INITIAL position (freq=11), distributional assignment"
"M043","mu","HIGH","DEDR 5009","Phase-80 DEDR rebus (muukku = DEDR 5009)"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M029","yānai","MEDIUM","","Parpola 1994+","Round 3: INITIAL position (freq=11), distributional assignment"
"M064","va","HIGH","DEDR 5243","Phase-80 DEDR rebus (vaai = DEDR 5243)"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M007","aaL","MEDIUM","","Phase-89 systematic DEDR (ICON, HIGH)",""
"M046","kaL","HIGH","","Phase-89 systematic DEDR (ICON, MEDIUM)"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M032","koL","HIGH","","Phase-89 systematic DEDR (ICON, MEDIUM)"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M169","rā","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='rā' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=8."
"M237","ce","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='ce' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=8."
"M102","ni","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='ni' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR 3596: water. freq=8."
"M076","naN","HIGH","","Phase-91 threshold-1.0 (score=1.00)"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M272","ma","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='ma' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR 4751: great. freq=7."
"M128","kaṇ","HIGH","","Parpola 1994+","Round 3: MEDIAL position (freq=7), distributional assignment [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M082","pa","MEDIUM","DEDR 3966","Phase-80 DEDR rebus (pal = DEDR 3966)",""
"M235","vē","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='vē' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=7."
"M149","or","MEDIUM","DEDR 987 (oru = one/a, Tamil); DEDR 994 (oru = a certain)","Phase-129 positional upgrade","Phase-129 positional squeeze: MEDIAL position (7/7 tokens). SA modal = 'or'. DEDR 987 oru/or = one (numeral/article). Collocates before: M073=kōṉ (king/bull), M391=ka/kaṇ (numeral), M293=ta. Collocates after: M176=an/aṇ (masc suffix), M087=veL. Pattern: [king-sign]→M149→[masc-suffix] = '[kōṉ]-or-an' = 'the one who is king' or 'a certain king' — Dravidian partitive/numeral in title compound. SA consistency: 0.71 (5/7 instances give 'or'). Phase-129 MEDIUM."
"M185","pul","MEDIUM","DEDR 4336 (pul = grass/humble/low, Tamil)","Phase-129 positional upgrade","Phase-129 positional squeeze: MEDIAL position (7/7 tokens). SA modal = 'pol'. Nearest DEDR: 4336 pul (grass/humble/low, Tamil) or 4532 pol (resemble). 'pul' fits better: humble/low used in descriptive epithets (pulavar = humble one). Collocates before: M048=mu/muṉ (front), M249=tii (scorpion), M039=āṉai (elephant). Collocates after: M328=āl (man), M391=kaṇ (numeral), M362=aṇi. Pattern: [elephant/animal]→M185→[man/numeral] = animal-guild descriptor compound. SA consistency: 0.57. Phase-129 MEDIUM (borderline — DEDR + positional both fit)."
"M383","kol","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='kol' (CV syllable), consistency=0.25, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=7."
"M375","taṇ","MEDIUM","","Phase-105","Folded-arm sign ~ taṇ 'cool/refreshing' (DEDR 3009) or taṇṭu 'staff/rod'. Phase-103 NAME_AY_AN pattern: [M375]-M342-M176 (taṇ-ay-an = 'cool/noble man'). Sangam Akam poetry: taṇ- is a common personal name prefix. Freq=7; Pos=MEDIAL; name_slots=4."
"M270","muḷ","LOW","","","Round 4: MEDIAL position (freq=6), distributional assignment"
"M401","vē","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='vē' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=6."
"M374","kul","MEDIUM","DEDR 1709 (kulam = clan/lineage, Tamil)","Phase-128 substrate upgrade","Phase-123 substrate match: Munda 'kul' (tiger/king-tiger, Witzel 1999). DEDR 1709 kulam = clan/lineage — attested Tamil noun. Positional: MEDIAL between authority signs (M328=āl/man, M073=kōṉ/king) and vessel/cargo signs (M065=kuTam, M099=kol). Semantic fit: 'kul' (clan-guild) as a social-group identifier within guild-title inscriptions. The Munda substrate + Dravidian cognate confirms this is a loanword or shared isogloss. Phase-128 SUBSTRATE-MEDIUM."
"M127","vē","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='vē' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=6."
"M252","kur","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='kur' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=6."
"M386","maṇ","LOW","","","Round 4: MEDIAL position (freq=6), distributional assignment"
"M351","vī","MEDIUM","DEDR 5388 (vī = seed, Tamil/Telugu)","Phase-128 substrate upgrade","Phase-123 substrate match: Munda 'bi' (seed/sprout). DEDR 5388 vī = seed — attested Tamil/Telugu agricultural vocabulary. Phonological: Munda 'bi' → Dravidian 'vī' (voiced bilabial shift p/b→v). Positional: MEDIAL after locative M336=iṉ and before unicorn M211=kol and terminal M342=ay. Semantic fit: vī (seed/grain) in agricultural-guild inscriptions. Phase-128 SUBSTRATE-MEDIUM."
"M198","co","MEDIUM","","","Phase-163 sibilant discovery: reading 'co' found in literature (3 mentions across sources: Wells_2015). Provides partial coverage for Shu-ilishu /su/ phonological slot."
"M168","inci","MEDIUM","","Phase-110","Phase-110 targeted SA: modal='inci', consistency=0.90, 10 seeds, 130 anchors pinned. DEDR : . freq=6."
"M332","intu","MEDIUM","","Phase-108","Phase-106 name SA sprint: SA modal='intu', consistency=0.50, PD-valid. DEDR : . Freq=6."
"M183","vēḷ","LOW","","","Round 4: MEDIAL position (freq=5), distributional assignment"
"M222","kur","MEDIUM","","Phase-87 DEDR_REBUS_EXTENDED",""
"M365","vāṉ","LOW","","","Round 4: MEDIAL position (freq=5), distributional assignment"
"M412","cūḷ","LOW","","","Round 4: MEDIAL position (freq=5), distributional assignment"
"M151","viḷ","LOW","","","Round 4: MEDIAL position (freq=5), distributional assignment"
"M304","vēṟ","LOW","","","Round 4: MEDIAL position (freq=5), distributional assignment"
"M355","lu","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='lu' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=5."
"M178","i","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='i' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=5."
"M163","il","HIGH","","Phase-87 DEDR_REBUS_EXTENDED"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M108","kaL","HIGH","","Phase-89 systematic DEDR (ICON, MEDIUM)"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M231","kur","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='kur' (CV syllable), consistency=0.25, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=5."
"M321","kol","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M153","pu","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='pu' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR 4317: flower. freq=5."
"M177","na","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='na' (CV syllable), consistency=0.25, 12 seeds, 243 H+M anchors pinned. DEDR 3549: word. freq=5."
"M357","kuḷ","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M137","kuṟ","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M155","ka","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='ka' (CV syllable), consistency=0.25, 12 seeds, 243 H+M anchors pinned. DEDR 1145: eye. freq=5."
"M239","il","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M223","muḷ","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M103","kol","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='kol' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=5."
"M254","tēṉ","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M262","i","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='i' (CV syllable), consistency=0.17, 12 seeds, 243 H+M anchors pinned. DEDR : . freq=5."
"M416","na","MEDIUM","","Phase-122","Phase-122 syllabic LM SA: modal='na' (CV syllable), consistency=0.25, 12 seeds, 243 H+M anchors pinned. DEDR 3549: word. freq=5."
"M143","maṇ","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M345","taṭ","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M329","poṉ","LOW","","","Round 5: MEDIAL position (freq=5), distributional assignment"
"M190","paṉ","LOW","","","Round 6: MEDIAL position (freq=5), distributional assignment"
"M295","paṟ","LOW","","","Round 6: MEDIAL position (freq=5), distributional assignment"
"M402","vēḷ","LOW","","","Round 6: MEDIAL position (freq=5), distributional assignment"
"M255","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=4. [Phase-120: L1=0.000≤0.2, freq=4≥3 → MEDIUM]"
"M251","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=4. [Phase-120: L1=0.000≤0.2, freq=4≥3 → MEDIUM]"
"M301","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=4. [Phase-120: L1=0.000≤0.2, freq=4≥3 → MEDIUM]"
"M406","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=4. [Phase-120: L1=0.000≤0.2, freq=4≥3 → MEDIUM]"
"M387","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=4. [Phase-120: L1=0.000≤0.2, freq=4≥3 → MEDIUM]"
"M116","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=4. [Phase-120: L1=0.000≤0.2, freq=4≥3 → MEDIUM]"
"M274","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=4. [Phase-120: L1=0.000≤0.2, freq=4≥3 → MEDIUM]"
"M086","oru","MEDIUM","","Parpola_1994_via_phase51",""
"M087","veL","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M091","aru","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=0.00✓ DEDR✓]"
"M092","elu","MEDIUM","","Parpola_1994_via_phase51",""
"M124","kuTam","MEDIUM","","Parpola_1994_via_phase51",""
"M175","katir","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M261","muruku","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M264","peN","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M281","piLLai","MEDIUM","","Parpola_1994_via_phase51",""
"M311","vaTamiin","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M117","ar","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M088","muu(n)-","HIGH","","Parpola_1994_via_phase51"," [Phase-116 recal: SA-cons=0.00✓ DEDR✓]"
"M090","aintu","MEDIUM","","Parpola 1994",""
"M093","eTTu","MEDIUM","","Parpola 1994",""
"M094","onpatu","MEDIUM","","Parpola 1994",""
"M008","erumai","MEDIUM","","Parpola 1994",""
"M100","maa","HIGH","","Parpola 1994"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M101","kur","LOW","","Phase-111","Phase-111 allograph resolution: positional profile L1=0.000 matches M222 ('kur', MEDIUM). I=0.000 T=0.000 M=1.000. freq=2."
"M125","vil","HIGH","","Parpola 1994"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M202","can","MEDIUM","","Phase-111","Phase-163 sibilant discovery: reading 'can' found in literature (4 mentions across sources: Mahadevan_2009_vestiges). Provides partial coverage for Shu-ilishu /su/ phonological slot."
"M211","kol","HIGH","","Phase-46+Parpola"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M249","tii","MEDIUM","","Parpola 1994",""
"M293","ta","HIGH","","Phase-101 positional adjudication"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M058","ke","MEDIUM","DEDR 1994","Phase-80 DEDR rebus (keeDu = DEDR 1994)",""
"M065","kuTam","MEDIUM","","Phase-50+Parpola",""
"M220","al","MEDIUM","","Phase-89 systematic DEDR (PHON, MEDIUM)",""
"M052","ta","HIGH","DEDR 3036","Phase-80 DEDR rebus (taNal = DEDR 3036)"," [Phase-116 recal: SA-cons=0.12✓ DEDR✓]"
"M053","mi","MEDIUM","DEDR 4839","Phase-80 DEDR rebus (miiN = DEDR 4839)",""
"M061","ka","HIGH","DEDR 1166","Phase-80 DEDR rebus (kaNan = DEDR 1166)"," [Phase-116 recal: SA-cons=0.25✓ DEDR✓]"
"M079","ir","HIGH","","Phase-83 gap sprint"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M022","kalam","HIGH","","Phase-83 gap sprint"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M019","ampu","HIGH","","Phase-83 gap sprint"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
"M044","ku","MEDIUM","","Phase-83 gap sprint",""
"M035","po","HIGH","","Phase-87 DEDR_REBUS_EXTENDED"," [Phase-116 recal: SA-cons=1.00✓ DEDR✓]"
